symbol,shortName,longName,marketCap,regularMarketPrice,currency,mcap_cr
MANIPALHOS.NS,MANIPAL HEALTH ENTERPRI L,Manipal Health Enterprises Limited,954963787776,726.0,INR,95496.4
AMBUJACEM.NS,AMBUJA CEMENTS LTD,Ambuja Cements Limited,953548603392,383.75,INR,95354.9
LUPIN.NS,LUPIN LIMITED,Lupin Limited,952992333824,2084.0,INR,95299.2
NYKAA.NS,FSN E COMMERCE VENTURES,FSN E-Commerce Ventures Limited,952129421312,332.3,INR,95212.9
JSWENERGY.NS,JSW ENERGY LIMITED,JSW Energy Limited,924706996224,504.65,INR,92470.7
OFSS.NS,ORACLE FIN SERV SOFT LTD.,Oracle Financial Services Software Limited,921452216320,10579.0,INR,92145.2
IDBI.NS,IDBI BANK LIMITED,IDBI Bank Limited,901911478272,83.88,INR,90191.1
GODREJCP.NS,GODREJ CONSUMER PRODUCTS,Godrej Consumer Products Limited,894880186368,874.5,INR,89488.0
MAZDOCK.NS,MAZAGON DOCK SHIPBUIL LTD,Mazagon Dock Shipbuilders Limited,884814053376,2193.5,INR,88481.4
JSWINFRA.NS,JSW INFRASTRUCTURE LTD,JSW Infrastructure Limited,841561341952,363.5,INR,84156.1
PERSISTENT.NS,PERSISTENT SYSTEMS LTD,Persistent Systems Limited,831930302464,5325.0,INR,83193.0
FEDERALBNK.NS,FEDERAL BANK LTD,The Federal Bank Limited,818032476160,331.15,INR,81803.2
DIXON.NS,DIXON TECHNO (INDIA) LTD,Dixon Technologies (India) Limited,810854055936,13336.0,INR,81085.4
SHREECEM.NS,SHREE CEMENT LIMITED,Shree Cement Limited,802977021952,22255.0,INR,80297.7
NAUKRI.NS,INFO EDGE (I) LTD,Info Edge (India) Limited,802546909184,1239.0,INR,80254.7
COFORGE.NS,COFORGE LIMITED,Coforge Limited,786083479552,1774.3,INR,78608.3
ICICIGI.NS,ICICI LOMBARD GIC LIMITED,ICICI Lombard General Insurance Company Limited,782896398336,1567.0,INR,78289.6
NTPCGREEN.NS,NTPC GREEN ENERGY LIMITED,NTPC Green Energy Limited,781120700416,92.7,INR,78112.1
OIL.NS,OIL INDIA LTD,Oil India Limited,768653459456,472.55,INR,76865.3
NHPC.NS,NHPC LTD,NHPC Limited,759705960448,75.63,INR,75970.6
SAIL.NS,STEEL AUTHORITY OF INDIA,Steel Authority of India Limited,758240509952,183.57,INR,75824.1
AUBANK.NS,AU SMALL FINANCE BANK LTD,AU Small Finance Bank Limited,758558752768,1012.2,INR,75855.9
APARINDS.NS,APAR INDUSTRIES LTD.,APAR Industries Limited,749975437312,17911.0,INR,74997.5
HINDPETRO.NS,HINDUSTAN PETROLEUM CORP,Hindustan Petroleum Corporation Limited,747184848896,351.15,INR,74718.5
BHARTIHEXA.NS,BHARTI HEXACOM LIMITED,Bharti Hexacom Limited,743900053504,1487.8,INR,74390.0
SRF.NS,SRF LTD,SRF Limited,739977592832,2496.5,INR,73997.8
WELCORP.NS,WELSPUN CORP LIMITED,Welspun Corp Limited,737052524544,2795.0,INR,73705.3
NAM-INDIA.NS,NIPPON L I A M LTD,Nippon Life India Asset Management Limited,730607910912,1141.5,INR,73060.8
IDFCFIRSTB.NS,IDFC FIRST BANK LIMITED,IDFC First Bank Limited,719833530368,83.48,INR,71983.4
WAAREEENER.NS,WAAREE ENERGIES LIMITED,Waaree Energies Limited,715647680512,2487.9,INR,71564.8
INDUSINDBK.NS,INDUSIND BANK LIMITED,IndusInd Bank Limited,709489131520,910.6,INR,70948.9
LTF.NS,L&T FINANCE LIMITED,L&T Finance Limited,708796481536,282.8,INR,70879.6
PHOENIXLTD.NS,THE PHOENIX MILLS LTD,The Phoenix Mills Limited,705376485376,1972.1,INR,70537.6
YESBANK.NS,YES BANK LIMITED,Yes Bank Limited,704684556288,22.45,INR,70468.5
UNOMINDA.NS,UNO MINDA LIMITED,Uno Minda Limited,703470501888,1218.2,INR,70347.1
NMDC.NS,NMDC LTD.,NMDC Limited,702817894400,79.94,INR,70281.8
SWIGGY.NS,SWIGGY LIMITED,Swiggy Limited,685916422144,261.8,INR,68591.6
BAJAJHFL.NS,BAJAJ HOUSING FINANCE LTD,Bajaj Housing Finance Limited,685615480832,82.32,INR,68561.5
HAVELLS.NS,HAVELLS INDIA LIMITED,Havells India Limited,683602935808,1089.3,INR,68360.3
DABUR.NS,DABUR INDIA LTD,Dabur India Limited,681731620864,384.3,INR,68173.2
OBEROIRLTY.NS,OBEROI REALTY LIMITED,Oberoi Realty Limited,675173040128,1856.9,INR,67517.3
GLENMARK.NS,GLENMARK PHARMACEUTICALS,Glenmark Pharmaceuticals Limited,674404106240,2389.6,INR,67440.4
ATGL.NS,ADANI TOTAL GAS LIMITED,Adani Total Gas Limited,668189589504,607.55,INR,66819.0
ICICIPRULI.NS,ICICI PRU LIFE INS CO LTD,ICICI Life Insurance Limited,666706903040,459.55,INR,66670.7
ASTERDM.NS,ASTER DM QUALITY CARE LTD,Aster DM Quality Care Limited,657763991552,754.6,INR,65776.4
NATIONALUM.NS,NATIONAL ALUMINIUM CO LTD,National Aluminium Company Limited,657789681664,358.15,INR,65779.0
MAHABANK.NS,BANK OF MAHARASHTRA,Bank of Maharashtra,647475101696,84.18,INR,64747.5
RBLBANK.NS,RBL BANK LIMITED,RBL Bank Limited,639121555456,411.9,INR,63912.2
FORTIS.NS,FORTIS HEALTHCARE LTD,Fortis Healthcare Limited,637599875072,844.55,INR,63760.0
INDOMIM.NS,INDO-MIM LIMITED,INDO-MIM Limited,632539906048,1279.2,INR,63254.0
ALKEM.NS,ALKEM LABORATORIES LTD.,Alkem Laboratories Limited,632080367616,5286.5,INR,63208.0
PRESTIGE.NS,PRESTIGE ESTATE LTD,Prestige Estates Projects Limited,626626396160,1454.8,INR,62662.6
BANKINDIA.NS,BANK OF INDIA,Bank of India,625536532480,137.4,INR,62553.7
TORNTPOWER.NS,TORRENT POWER LTD,Torrent Power Limited,623681404928,1237.7,INR,62368.1
SCHAEFFLER.NS,SCHAEFFLER INDIA LIMITED,Schaeffler India Limited,623557804032,3989.4,INR,62355.8
MOTILALOFS.NS,MOTILAL OSWAL FIN LTD,Motilal Oswal Financial Services Limited,623599026176,1034.2,INR,62359.9
IOB.NS,INDIAN OVERSEAS BANK,Indian Overseas Bank,613900091392,31.88,INR,61390.0
JSL.NS,JINDAL STAINLESS LIMITED,Jindal Stainless Limited,612606672896,743.5,INR,61260.7
RADICO.NS,RADICO KHAITAN LTD,Radico Khaitan Limited,609918189568,4552.0,INR,60991.8
APLAPOLLO.NS,APL APOLLO TUBES LTD,APL Apollo Tubes Limited,609515732992,2195.2,INR,60951.6
ATHERENERG.NS,ATHER ENERGY LIMITED,Ather Energy Limited,592317054976,1495.3,INR,59231.7
GICRE.NS,GENERAL INS CORP OF INDIA,General Insurance Corporation of India,590531067904,336.6,INR,59053.1
KIRLOSIND.NS,KIRLOSKAR INDUSTRIES LTD,Kirloskar Industries Limited,590415724544,3575.0,INR,59041.6
KALYANKJIL.NS,KALYAN JEWELLERS IND LTD,Kalyan Jewellers India Limited,587015651328,568.4,INR,58701.6
SBICARD.NS,SBI CARDS & PAY SER LTD,SBI Cards and Payment Services Limited,579360260096,608.8,INR,57936.0
ABBOTINDIA.NS,ABBOTT INDIA LIMITED,Abbott India Limited,572456173568,26940.0,INR,57245.6
COROMANDEL.NS,COROMANDEL INTERNTL. LTD,Coromandel International Limited,570319896576,1936.3,INR,57032.0
SUZLON.NS,SUZLON ENERGY LIMITED,Suzlon Energy Limited,552881160192,40.22,INR,55288.1
HDBFS.NS,HDB FINANCIAL SERVICES L,HDB Financial Services Limited,537749848064,649.1,INR,53775.0
POLICYBZR.NS,PB FINTECH LIMITED,PB Fintech Limited,533263253504,1154.0,INR,53326.3
BERGEPAINT.NS,BERGER PAINTS (I) LTD,Berger Paints India Limited,531347505152,455.7,INR,53134.8
MRF.NS,MRF LTD,MRF Limited,525583646720,123925.0,INR,52558.4
LINDEINDIA.NS,LINDE INDIA LIMITED,Linde India Limited,521939451904,6120.0,INR,52193.9
SONACOMS.NS,SONA BLW PRECISION FRGS L,Sona BLW Precision Forgings Limited,511816531968,820.05,INR,51181.7
GODREJPROP.NS,GODREJ PROPERTIES LTD,Godrej Properties Limited,507898003456,1686.1,INR,50789.8
COLPAL.NS,COLGATE PALMOLIVE LTD.,Colgate-Palmolive (India) Limited,500099973120,1838.7,INR,50010.0
FACT.NS,FACT LTD,The Fertilisers and Chemicals Travancore Limited,500089585664,772.85,INR,50009.0
MFSL.NS,MAX FINANCIAL SERV LTD,Max Financial Services Limited,495723413504,1444.0,INR,49572.3
IPCALAB.NS,IPCA LABORATORIES LTD,Ipca Laboratories Limited,494900805632,1950.7,INR,49490.1
ANTHEM.NS,ANTHEM BIOSCIENCES LTD,Anthem Biosciences Limited,493184778240,878.0,INR,49318.5
SUNDARMFIN.NS,SUNDARAM FINANCE LTD,Sundaram Finance Limited,492650463232,4469.8,INR,49265.0
TIINDIA.NS,TUBE INVEST OF INDIA LTD,Tube Investments of India Limited,488847507456,2525.4,INR,48884.8
FLUOROCHEM.NS,GUJARAT FLUOROCHEM LTD,Gujarat Fluorochemicals Limited,488579858432,4447.7,INR,48858.0
PIRAMALFIN.NS,PIRAMAL FINANCE LIMITED,Piramal Finance Limited,486838992896,2061.6,INR,48683.9
VMM.NS,VISHAL MEGA MART LIMITED,Vishal Mega Mart Limited,484315496448,103.38,INR,48431.5
AEGISLOG.NS,AEGIS LOGISTICS LIMITED,Aegis Logistics Limited,483467395072,1377.4,INR,48346.7
GLAND.NS,GLAND PHARMA LIMITED,Gland Pharma Limited,479868059648,2908.1,INR,47986.8
TATACOMM.NS,TATA COMMUNICATIONS LTD,Tata Communications Limited,477832019968,1676.1,INR,47783.2
AIIL.NS,AUTHUM INVEST & INFRA LTD,Authum Investment & Infrastructure Limited,478963171328,564.0,INR,47896.3
HINDCOPPER.NS,HINDUSTAN COPPER LTD,Hindustan Copper Limited,477226336256,493.5,INR,47722.6
GLAXO.NS,GLAXOSMITHKLINE PHARMA LT,GlaxoSmithKline Pharmaceuticals Limited,476302016512,2811.6,INR,47630.2
M&MFIN.NS,M&M FIN. SERVICES LTD,Mahindra & Mahindra Financial Services Limited,464968253440,334.6,INR,46496.8
UPL.NS,UPL LIMITED,UPL Limited,460595363840,544.9,INR,46059.5
KEI.NS,KEI INDUSTRIES LTD.,KEI Industries Limited,445307551744,4658.0,INR,44530.8
AJANTPHARM.NS,AJANTA PHARMA LIMITED,Ajanta Pharma Limited,443354611712,3548.0,INR,44335.5
SUPREMEIND.NS,SUPREME INDUSTRIES LTD,The Supreme Industries Limited,443248574464,3487.9,INR,44324.9
CPPLUS.NS,ADITYA INFOTECH LIMITED,Aditya Infotech Limited,442266157056,3738.5,INR,44226.6
NAVINFLUOR.NS,NAVIN FLUORINE INT. LTD,Navin Fluorine International Limited,438786981888,8552.0,INR,43878.7
PATANJALI.NS,PATANJALI FOODS LIMITED,Patanjali Foods Limited,438578675712,403.15,INR,43857.9
360ONE.NS,360 ONE WAM LIMITED,360 One Wam Limited,438711746560,1075.5,INR,43871.2
STLTECH.NS,STERLITE TECHNOLOGIES LTD,Sterlite Technologies Limited,429006618624,834.55,INR,42900.7
PETRONET.NS,PETRONET LNG LIMITED,Petronet LNG Limited,427875041280,285.25,INR,42787.5
RVNL.NS,RAIL VIKAS NIGAM LIMITED,Rail Vikas Nigam Limited,427783585792,205.17,INR,42778.4
MPHASIS.NS,MPHASIS LIMITED,Mphasis Limited,420751605760,2205.0,INR,42075.2
BDL.NS,BHARAT DYNAMICS LIMITED,Bharat Dynamics Limited,419970646016,1145.7,INR,41997.1
BALKRISIND.NS,BALKRISHNA IND. LTD,Balkrishna Industries Limited,419652960256,2170.8,INR,41965.3
PAGEIND.NS,PAGE INDUSTRIES LTD,Page Industries Limited,418214510592,37495.0,INR,41821.5
MEDANTA.NS,GLOBAL HEALTH LIMITED,Global Health Limited,401792860160,1495.2,INR,40179.3
PREMIERENE.NS,PREMIER ENERGIES LIMITED,Premier Energies Limited,401877696512,890.2,INR,40187.8
POONAWALLA.NS,POONAWALLA FINCORP LTD,Poonawalla Fincorp Limited,397524008960,453.85,INR,39752.4
JKCEMENT.NS,JK CEMENT LIMITED,J.K. Cement Limited,388388847616,5026.5,INR,38838.9
THERMAX.NS,THERMAX LTD,Thermax Limited,386959474688,3435.1,INR,38695.9
PWL.NS,PHYSICSWALLAH LIMITED,Physicswallah Limited,384688357376,132.61,INR,38468.8
3MINDIA.NS,3M INDIA LIMITED,3M India Limited,381547905024,33870.0,INR,38154.8
KPRMILL.NS,KPR MILL LTD.,K.P.R. Mill Limited,380097265664,1109.7,INR,38009.7
NH.NS,NARAYANA HRUDAYALAYA LTD.,Narayana Hrudayalaya Limited,379552989184,1868.8,INR,37955.3
ASTRAL.NS,ASTRAL LIMITED,Astral Limited,373155102720,1389.0,INR,37315.5
ENDURANCE.NS,ENDURANCE TECHNO. LTD.,Endurance Technologies Limited,372728430592,2649.8,INR,37272.8
GODREJIND.NS,GODREJ INDUSTRIES LTD,Godrej Industries Limited,367807660032,1091.9,INR,36780.8
EMCURE.NS,EMCURE PHARMACEUTICALS L,Emcure Pharmaceuticals Limited,367773057024,1938.6,INR,36777.3
VOLTAS.NS,VOLTAS LTD,Voltas Limited,367778398208,1111.5,INR,36777.8
IRCTC.NS,INDIAN RAIL TOUR CORP LTD,Indian Railway Catering & Tourism Corporation Limited,366280015872,457.85,INR,36628.0
WOCKPHARMA.NS,WOCKHARDT LIMITED,Wockhardt Limited,366176108544,2253.5,INR,36617.6
CUPID.NS,CUPID LIMITED,Cupid Limited,362991190016,269.95,INR,36299.1
COCHINSHIP.NS,COCHIN SHIPYARD LIMITED,Cochin Shipyard Limited,361104670720,1372.6,INR,36110.5
PIIND.NS,PI INDUSTRIES LTD,PI Industries Limited,359968342016,2372.8,INR,35996.8
NLCINDIA.NS,NLC INDIA LIMITED,NLC India Limited,359970897920,259.6,INR,35997.1
ANANDRATHI.NS,ANAND RATHI WEALTH LTD,Anand Rathi Wealth Limited,358698942464,2160.3,INR,35869.9
EXIDEIND.NS,EXIDE INDUSTRIES LTD,Exide Industries Limited,357382520832,420.45,INR,35738.3
CONCOR.NS,CONTAINER CORP OF IND LTD,Container Corporation of India Limited,349887266816,459.4,INR,34988.7
HUDCO.NS,HSG & URBAN DEV CORPN LTD,Housing and Urban Development Corporation Limited,347710029824,173.69,INR,34771.0
